,Label,candidate,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question
16,Number of Adults in Household,n,Land Line Introduction,0,8,70-71,Num,NUMADULT,Variable only on the land line survey,"I need to randomly select one adult who lives in your household to be interviewed. Excluding adults living away from home, such as students away at college, how many members of your household, including yourself, are 18 years of age or older?"
17,Are you male or female?,n,Land Line Introduction,0,9,72,Num,LANDSEX,,Are you male or female?
18,Number of Adult men in Household,n,Land Line Introduction,0,10,73-74,Num,NUMMEN,Variable only on the land line survey,How many of these adults are men?
19,Number of Adult women in Household,n,Land Line Introduction,0,11,75-76,Num,NUMWOMEN,Variable only on the land line survey,So the number of women in the household is [X]. Is that correct?
20,Respondent selection,n,Land Line Introduction,0,12,77,Num,RESPSLCT,,The person in your household that I need to speak with is [XXX]. Are you the [XXX] in this household
21,Safe time to talk,n,Cell Phone Introduction,0,1,78,Num,SAFETIME,Variable only on the cell phone survey,Is this a safe time to talk with you?
22,Correct Phone Number?,n,Cell Phone Introduction,0,2,79,Num,CTELNUM1,Variable only on the cell phone survey,Is this: (phone number): ?
23,Is this a cell phone?,n,Cell Phone Introduction,0,3,80,Num,CELLFON5,Variable only on the cell phone survey,Is this a cell phone?
24,Are you 18 years of age or older?,n,Cell Phone Introduction,0,4,81,Num,CADULT1,Variable only on the cell phone survey,Are you 18 years of age or older?
25,Are you male or female?,n,Cell Phone Introduction,0,5,82,Num,CELLSEX,,Are you male or female?
26,Do you live in a private residence?,n,Cell Phone Introduction,0,6,83,Num,PVTRESD3,Variable only on the cell phone survey,"Do you live in a private residence?: (By private residence, we mean someplace like a house or apartment.)"
27,Do you live in college housing?,n,Cell Phone Introduction,0,7,84,Num,CCLGHOUS,Variable only on the cell phone survey,Do you live in college housing?
28,Do you currently live in,n,Cell Phone Introduction,0,8,85,Num,CSTATE1,Variable only on the cell phone survey,Do you currently live in: ____(state)____?
29,Do you also have a landline telephone?,n,Cell Phone Introduction,0,10,88,Num,LANDLINE,Variable only on the cell phone survey,Do you also have a landline telephone in your home that is used to make and receive calls?
30,Number of Adults in Household,n,Cell Phone Introduction,0,11,89-90,Num,HHADULT,Variable only on the cell phone survey,"How many members of your household, including yourself, are 18 years of age or older?"
31,Sex of Respondent,n,Respondent Sex,0,1,91,Num,SEXVAR,,Sex of Respondent
32,General Health,n,Health Status,1,1,101,Num,GENHLTH,,Would you say that in general your health is: 
33,Number of Days Physical Health Not Good,n,Healthy Days,2,1,102-103,Num,PHYSHLTH,,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?"
34,Number of Days Mental Health Not Good,n,Healthy Days,2,2,104-105,Num,MENTHLTH,,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?"
35,Poor Physical or Mental Health,n,Healthy Days,2,3,106-107,Num,POORHLTH,,"During the past 30 days, for about how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?"
36,Have any health care coverage,n,Health Care Access,3,1,108,Num,HLTHPLN1,,"Do you have any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or government plans such as Medicare, or Indian Health Service?"
37,Multiple Health Care Professionals,n,Health Care Access,3,2,109,Num,PERSDOC2,,Do you have one person you think of as your personal doctor or health care provider?: (If ï¿½Noï¿½ ask ï¿½Is there more than one or is there no person who you think of as your personal doctor or health care provider?ï¿½.)
38,Could Not See Doctor Because of Cost,n,Health Care Access,3,3,110,Num,MEDCOST,,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?
39,Length of time since last routine checkup,n,Health Care Access,3,4,111,Num,CHECKUP1,,"About how long has it been since you last visited a doctor for a routine checkup?: [A routine checkup is a general physical exam, not an exam for a specific injury, illness, or condition.]"
40,Ever Told Blood Pressure High,n,Hypertension Awareness,4,1,112,Num,BPHIGH4,,"Have you ever been told by a doctor, nurse or other health professional that you have high blood pressure?: (If ï¿½Yesï¿½ and respondent is female, ask ï¿½Was this only when you were pregnant?ï¿½.)"
41,Currently Taking Blood Pressure Medication,n,Hypertension Awareness,4,2,113,Num,BPMEDS,,Are you currently taking medicine for your high blood pressure?
42,How Long since Cholesterol Checked,n,Cholesterol Awareness,5,1,114,Num,CHOLCHK2,Blood cholesterol is a fatty substance found in the blood.,About how long has it been since you last had your blood cholesterol checked?
43,Ever Told Blood Cholesterol High,n,Cholesterol Awareness,5,2,115,Num,TOLDHI2,,"Have you ever been told by a doctor, nurse or other health professional that your blood cholesterol is high?"
44,Currently taking medicine for high cholesterol,n,Cholesterol Awareness,5,3,116,Num,CHOLMED2,,Are you currently taking medicine prescribed by your doctor or other health professional for your blood cholesterol?
45,Ever Diagnosed with Heart Attack,n,Chronic Health Conditions,6,1,117,Num,CVDINFR4,"Has a doctor, nurse, or other health professional ever told you that you had any of the following? For each, tell me ï¿½Yesï¿½, ï¿½Noï¿½, or youï¿½re ï¿½Not sureï¿½","(Ever told) you had a heart attack, also called a myocardial infarction?"
46,Ever Diagnosed with Angina or Coronary Heart Disease,n,Chronic Health Conditions,6,2,118,Num,CVDCRHD4,,(Ever told) you had angina or coronary heart disease?
47,Ever Diagnosed with a Stroke,n,Chronic Health Conditions,6,3,119,Num,CVDSTRK3,,(Ever told) you had a stroke.
48,Ever Told Had Asthma,n,Chronic Health Conditions,6,4,120,Num,ASTHMA3,,(Ever told) you had asthma?
49,Still Have Asthma,n,Chronic Health Conditions,6,5,121,Num,ASTHNOW,,Do you still have asthma?
50,(Ever told) you had skin cancer?,n,Chronic Health Conditions,6,6,122,Num,CHCSCNCR,,(Ever told) you had skin cancer?
51,(Ever told) you had any other types of cancer?,n,Chronic Health Conditions,6,7,123,Num,CHCOCNCR,,(Ever told) you had any other types of cancer?
52,"(Ever told) (you had) chronic obstructive pulmonary disease, C.O.P.D., emphysema or chronic bronchitis?",n,Chronic Health Conditions,6,8,124,Num,CHCCOPD2,,"(Ever told) (you had) chronic obstructive pulmonary disease, C.O.P.D., emphysema or chronic bronchitis?"
53,(Ever told) you had a depressive disorder,n,Chronic Health Conditions,6,9,125,Num,ADDEPEV3,,"(Ever told) (you had) a depressive disorder (including depression, major depression, dysthymia, or minor depression)?"
54,Ever told you have kidney disease?,n,Chronic Health Conditions,6,10,126,Num,CHCKDNY2,,"Not including kidney stones, bladder infection or incontinence, were you ever told you had kidney disease?"
55,(Ever told) you had diabetes,n,Chronic Health Conditions,6,11,127,Num,DIABETE4,,"(Ever told) (you had) diabetes?: (If ï¿½Yesï¿½ and respondent is female, ask ï¿½Was this only when you were pregnant?ï¿½. If Respondent says pre-diabetes or borderline diabetes, use response code 4.)"
56,Age When Told Had Diabetes,n,Chronic Health Conditions,6,12,128-129,Num,DIABAGE3,,How old were you when you were told you had diabetes?
57,Told Had Arthritis,n,Arthritis,7,1,130,Num,HAVARTH4,,"(Ever told) (you had) some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia?: (Arthritis diagnoses include: rheumatism, polymyalgia rheumatica; osteoarthritis (not osteporosis); tendonitis, bursitis, bunion, tennis elbow; carpal tunnel syndrome, tarsal tunnel syndrome; joint infection, etc.)"
58,Dr. Suggest Use of Physical Activity or Exercise for Arthritis or Joint Symptoms,n,Arthritis,7,2,131,Num,ARTHEXER,,"Has a doctor or other health professional ever suggested physical activity or exercise to help your arthritis or joint symptoms?: (If the respondent is unclear about whether this means an increase or decrease in physical activity, this means increase.)"
59,Ever Taken Class in Managing Arthritis or Joint Symptoms,n,Arthritis,7,3,132,Num,ARTHEDU,,Have you ever taken an educational course or class to teach you how to manage problems related to your arthritis or joint symptoms?
60,Limited Because of Joint Symptoms,n,Arthritis,7,4,133,Num,LMTJOIN3,,Are you now limited in any way in any of your usual activities because of arthritis or joint symptoms?
61,Does Arthritis Affect Whether You Work,n,Arthritis,7,5,134,Num,ARTHDIS2,In this next question we are referring to work for pay.,"Do arthritis or joint symptoms now affect whether you work, the type of work you do or the amount of work you do?"
62,How Bad Was Joint Pain,n,Arthritis,7,6,135-136,Num,JOINPAI2,"Please think about the past 30 days, keeping in mind all of your joint pain or aching and whether or not you have taken medication.","During the past 30 days, how bad was your joint pain on average on a scale of 0 to 10 where 0 is no pain and 10 is pain or aching as bad as it can be?"
63,Marital Status,n,Demographics,8,5,173,Num,MARITAL,,Are you: (marital status)
64,Education Level,n,Demographics,8,6,174,Num,EDUCA,,What is the highest grade or year of school you completed?
65,Own or Rent Home,n,Demographics,8,7,175,Num,RENTHOM1,,Do you own or rent your home?
66,Household Telephones,n,Demographics,8,10,184,Num,NUMHHOL3,,"Not including cell phones or numbers used for computers, fax machines or security systems, do you have more than one telephone number in your household?"
67,Residential Phones,n,Demographics,8,11,185,Num,NUMPHON3,,How many of these telephone numbers are residential numbers?
68,Do you have a cell phone for personal use?,n,Demographics,8,12,186,Num,CPDEMO1B,,How many cell phones do you have for personal use?
69,Are You A Veteran,n,Demographics,8,13,187,Num,VETERAN3,,"Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a National Guard or military reserve unit?"
70,Employment Status,n,Demographics,8,14,188,Num,EMPLOY1,,Are you currentlyï¿½?
71,Number of Children in Household,n,Demographics,8,15,189-190,Num,CHILDREN,,How many children less than 18 years of age live in your household?
72,Income Level,n,Demographics,8,16,191-192,Num,INCOME2,,"Is your annual household income from all sources: (If respondent refuses at any income level, code ï¿½Refused.ï¿½)"
73,Reported Weight in Pounds,n,Demographics,8,17,193-196,Num,WEIGHT2,,"About how much do you weigh without shoes?: (If respondent answers in metrics, put a 9 in the first column)[Round fractions up.]"
74,Reported Height in Feet and Inches,n,Demographics,8,18,197-200,Num,HEIGHT3,,"About how tall are you without shoes?: (If respondent answers in metrics, put a 9 in the first column)[Round fractions down.]"
75,Pregnancy Status,n,Demographics,8,19,201,Num,PREGNANT,,"To your knowledge, are you now pregnant?"
76,Are you deaf or do you have serious difficulty hearing?,n,Demographics,8,20,202,Num,DEAF,,Are you deaf or do you have serious difficulty hearing?
77,Blind or Difficulty seeing,n,Demographics,8,21,203,Num,BLIND,,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?"
78,Difficulty Concentrating or Remembering,n,Demographics,8,22,204,Num,DECIDE,,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?"
79,Difficulty Walking or Climbing Stairs,n,Demographics,8,23,205,Num,DIFFWALK,,Do you have serious difficulty walking or climbing stairs?
80,Difficulty Dressing or Bathing,n,Demographics,8,24,206,Num,DIFFDRES,,Do you have difficulty dressing or bathing?
81,Difficulty Doing Errands Alone,n,Demographics,8,25,207,Num,DIFFALON,,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctorï¿½s office or shopping?"
82,Smoked at Least 100 Cigarettes,n,Tobacco Use,9,1,208,Num,SMOKE100,,Have you smoked at least 100 cigarettes in your entire life?: [Note: 5 packs = 100 cigarettes]
83,Frequency of Days Now Smoking,n,Tobacco Use,9,2,209,Num,SMOKDAY2,,"Do you now smoke cigarettes every day, some days, or not at all?"
84,Stopped Smoking in past 12 months,n,Tobacco Use,9,3,210,Num,STOPSMK2,,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?"
85,Interval Since Last Smoked,n,Tobacco Use,9,4,211-212,Num,LASTSMK2,,"How long has it been since you last smoked a cigarette, even one or two puffs?"
86,Use of Smokeless Tobacco Products,n,Tobacco Use,9,5,213,Num,USENOW3,,"Do you currently use chewing tobacco, snuff, or snus every day, some days, or not at all?: (Snus (Swedish for snuff) is a moist smokeless tobacco, usually sold in small pouches that are placed under the lip against the gum.)[Snus (rhymes with ï¿½gooseï¿½)]"
87,Days in past 30 had alcoholic beverage,n,Alcohol Consumption,10,1,214-216,Num,ALCDAY5,,"During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic beverage such as beer, wine, a malt beverage or liquor?"
88,Avg alcoholic drinks per day in past 30,n,Alcohol Consumption,10,2,217-218,Num,AVEDRNK3,,"One drink is equivalent to a 12-ounce beer, a 5-ounce glass of wine, or a drink with one shot of liquor. During the past 30 days, on the days when you drank, about how many drinks did you drink on the average?: (A 40 ounce beer would count as 3 drinks, or a cocktail drink with 2 shots would count as 2 drinks.)"
89,Binge Drinking,n,Alcohol Consumption,10,3,219-220,Num,DRNK3GE5,,"Considering all types of alcoholic beverages, how many times during the past 30 days did you have 5 or more drinks for men or 4 or more drinks for women on an occasion?"
90,Most drinks on single occasion past 30 days,n,Alcohol Consumption,10,4,221-222,Num,MAXDRNKS,,"During the past 30 days, what is the largest number of drinks you had on any occasion?"
91,Exercise in Past 30 Days,n,Exercise (Physical Activity),11,1,223,Num,EXERANY2,,"During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?"
92,Type of Physical Activity,n,Exercise (Physical Activity),11,2,224-225,Num,EXRACT11,,What type of physical activity or exercise did you spend the most time doing during the past month?
93,"How Many Times Walking, Running, Jogging, or Swimming",n,Exercise (Physical Activity),11,3,226-228,Num,EXEROFT1,,How many times per week or per month did you take part in this activity during the past month?
94,"Minutes or Hours Walking, Running, Jogging, or Swimming",n,Exercise (Physical Activity),11,4,229-231,Num,EXERHMM1,,"And when you took part in this activity, for how many minutes or hours did you usually keep at it?"
95,Other Type of Physical Activity Giving Most Exercise During Past Month,n,Exercise (Physical Activity),11,5,232-233,Num,EXRACT21,,What other type of physical activity gave you the next most exercise during the past month?
96,"How Many Times Walking, Running, Jogging, or Swimming",n,Exercise (Physical Activity),11,6,234-236,Num,EXEROFT2,,How many times per week or per month did you take part in this activity during the past month?
97,"Minutes or Hours Walking, Running, Jogging, or Swimming",n,Exercise (Physical Activity),11,7,237-239,Num,EXERHMM2,,"And when you took part in this activity, for how many minutes or hours did you usually keep at it?"
98,How many times did you do physical activities or exercises to STRENGTHEN your muscles?,n,Exercise (Physical Activity),11,8,240-242,Num,STRENGTH,,"During the past month, how many times per week or per month did you do physical activities or exercises to STRENGTHEN your muscles?: [Do NOT count aerobic activities like walking, running, or bicycling. Count activities using your own body weight like yoga, sit-ups or push-ups and those using weight machines, free weights, or elastic bands.]"
99,How many times did you eat fruit?,n,Fruits & Vegetables,12,1,243-245,Num,FRUIT2,,"Not including juices, how often did you eat fruit?"
100,How many times did you drink 100 percent PURE fruit juices?,n,Fruits & Vegetables,12,2,246-248,Num,FRUITJU2,,"Not including fruit-flavored drinks or fruit juices with added sugar, how often did you drink 100% fruit juice such as apple or orange juice?"
101,How many times did you eat dark green vegetables?,n,Fruits & Vegetables,12,3,249-251,Num,FVGREEN1,,"How often did you eat a green leafy or lettuce salad, with or without other vegetables?"
102,How often do you eat french fries or fried potatoes?,n,Fruits & Vegetables,12,4,252-254,Num,FRENCHF1,,"How often did you eat any kind of fried potatoes, including french fries, home fries, or hash browns?"
103,How Often Do You Eat Potatoes,n,Fruits & Vegetables,12,5,255-257,Num,POTATOE1,,"How often did you eat any other kind of potatoes, or sweet potatoes, such as baked, boiled, mashed potatoes, or potato salad?"
104,How many times did you eat OTHER vegetables?,n,Fruits & Vegetables,12,6,258-260,Num,VEGETAB2,,"Not including lettuce salads and potatoes, how often did you eat other vegetables?"
105,Adult flu shot/spray past 12 mos,n,Immunization,13,1,261,Num,FLUSHOT7,,"During the past 12 months, have you had either flu vaccine that was sprayed in your nose or flu shot injected into your arm?"
106,When did you receive your most recent seasonal flu shot/spray?,n,Immunization,13,2,262-267,Num,FLSHTMY3,,During what month and year did you receive your most recent flu vaccine that was sprayed in your nose or flu shot injected into your arm?
107,Received Tetanus Shot Since 2005?,n,Immunization,13,3,268,Num,TETANUS1,,"Have you received a tetanus shot in the past 10 years?: (If yes, ask: ï¿½Was this Tdap, the tetanus shot that also has pertussis or whooping cough vaccine?ï¿½)"
108,Pneumonia shot ever,n,Immunization,13,4,269,Num,PNEUVAC4,,Have you ever had a pneumonia shot also known as a pneumococcal vaccine?
109,Ever tested H.I.V.,n,HIV/AIDS,14,1,270,Num,HIVTST7,,"Including fluid testing from your mouth, but not including tests you may have had for blood donation, have you ever been tested for H.I.V?"
110,Month and Year of Last HIV Test,n,HIV/AIDS,14,2,271-276,Num,HIVTSTD3,,"Not including blood donations, in what month and year was your last H.I.V. test?: (If response is before January 1985, code ï¿½777777ï¿½.)"
111,Do Any High Risk Situations Apply,n,HIV/AIDS,14,3,277,Num,HIVRISK5,,"I am going to read you a list. When I am done, please tell me if any of the situations apply to you. You do not need to tell me which one. You have injected any drug other than those prescribed for you in the past year. You have been treated for a sexually transmitted disease or STD in the past year.: You have given or received money or drugs in exchange for sex in the past year."
112,Had a test for high blood sugar or diabetes in the past three years?,n,Pre-Diabetes,1,1,278,Num,PDIABTST,,Have you had a test for high blood sugar or diabetes within the past three years?
113,Ever been told by a doctor or other health professional that you have pre-diabetes or borderline diabetes?,n,Pre-Diabetes,1,2,279,Num,PREDIAB1,,"Have you ever been told by a doctor or other health professional that you have pre-diabetes or borderline diabetes?: (If ï¿½Yesï¿½ and respondent is female, ask: ï¿½Was this only when you were pregnant?ï¿½)"
114,Now Taking Insulin,n,Diabetes,2,1,280,Num,INSULIN1,,Are you now taking insulin?
115,How Often Check Blood for Glucose,n,Diabetes,2,2,281-283,Num,BLDSUGAR,,"About how often do you check your blood for glucose or sugar?: [Include times when checked by a family member or friend, but do NOT include times when checked by a health professional.]"
116,How Often Check Feet for Sores or Irritations,n,Diabetes,2,3,284-286,Num,FEETCHK3,,"Including times when checked by a family member or friend, about how often do you check your feet for any sores or irritations?"
117,Times Seen Health Professional for Diabetes,n,Diabetes,2,4,287-288,Num,DOCTDIAB,,"About how many times in the past 12 months have you seen a doctor, nurse, or other health professional for your diabetes?"
118,Times Checked for Glycosylated Hemoglobin,n,Diabetes,2,5,289-290,Num,CHKHEMO3,,"About how many times in the past 12 months has a doctor, nurse, or other health professional checked you for A-one-C?"
119,Times Feet Check for Sores/irritations,n,Diabetes,2,6,291-292,Num,FEETCHK,,About how many times in the past 12 months has a health professional checked your feet for any sores or irritations?
120,Last Eye Exam Where Pupils Were Dilated,n,Diabetes,2,7,293,Num,EYEEXAM1,,"When was the last time you had an eye exam in which the pupils were dilated, making you temporarily sensitive to bright light?"
121,Ever Told Diabetes Has Affected Eyes,n,Diabetes,2,8,294,Num,DIABEYE,,Has a doctor ever told you that diabetes has affected your eyes or that you had retinopathy?
122,Ever Taken Class in Managing Diabetes,n,Diabetes,2,9,295,Num,DIABEDU,,Have you ever taken a course or class in how to manage your diabetes yourself?
123,Told had Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME,n,ME/CFS,3,1,296,Num,TOLDCFS,,Have you ever been told by a doctor or other health professional that you had Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?
124,Still have Chronic Fatigue Syndrome or Myalgic Encephalomyelitis,n,ME/CFS,3,2,297,Num,HAVECFS,,Do you still have Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?
125,How many hours a week are you been able to work,n,ME/CFS,3,3,298,Num,WORKCFS,,"Thinking about your CFS or ME, during the past 6 months, how many hours a week on average have you been able to work at a job or business for pay?"
126,Told had Hepatitis C,n,Hepatitis Treatment,4,1,299,Num,TOLDHEPC,,Have you ever been told by a doctor or other health professional that you had Hepatitis C?
127,Treated for Hepatitis C,n,Hepatitis Treatment,4,2,300,Num,TRETHEPC,,Were you treated for Hepatitis C in 2015 or after?
128,Were you treated for Hepatitis C prior to 2015,n,Hepatitis Treatment,4,3,301,Num,PRIRHEPC,,Were you treated for Hepatitis C prior to 2015?
129,Still have Hepatitis C,n,Hepatitis Treatment,4,4,302,Num,HAVEHEPC,,Do you still have Hepatitis C?
130,Told,n,Hepatitis Treatment,4,5,303,Num,HAVEHEPB,The next question is about Hepatitis B.,"Has a doctor, nurse, or other health professional ever told you that you had hepatitis B?"
131,Currently taking medicine for hepatitis B,n,Hepatitis Treatment,4,6,304,Num,MEDSHEPB,,Are you currently taking medicine to treat hepatitis B?
132,Have you ever had the HPV vaccination?,n,HPV Vaccination,5,1,305,Num,HPVADVC3,"A vaccine to prevent the human papilloma virus or HPV infection is available and is called the cervical cancer or genital warts vaccine, HPV shot, [Fill",Have you ever had the Human Papilloma virus vaccination or HPV vaccination?
133,How many HPV shots did you receive?,n,HPV Vaccination,5,2,306-307,Num,HPVADSHT,,How many HPV shots did you receive?
134,Where did you get your last flu shot/vaccine?,n,Place of Flu Vaccination,6,1,308-309,Num,IMFVPLA1,,At what kind of place did you get your last flu shot or vaccine?
135,Have you ever had the shingles or zoster vaccine?,n,Shingles Vaccination,7,1,310,Num,SHINGLE2,,Have you ever had the shingles or zoster vaccine?
136,How old when you first started smoking?,n,Lung Cancer Screening,8,1,311-313,Num,LCSFIRST,,How old were you when you first started to smoke cigarettes regularly
137,How old when you last smoked?,n,Lung Cancer Screening,8,2,314-316,Num,LCSLAST,,How old were you when you last smoked cigarettes regularly?
138,"On average, how many cigarettes do you smoke each day?",n,Lung Cancer Screening,8,3,317-319,Num,LCSNUMCG,,"On average, when you {smoke/smoked} regularly, about how many cigarettes {do/did} you usually smoke each day?"
139,Did you have a CT or CAT scan?,n,Lung Cancer Screening,8,4,320,Num,LCSCTSCN,,"In the last 12 months, did you have a CT or CAT scan?"
140,Have You Ever Had a Mammogram,n,Breast and Cervical Cancer Screening,9,1,321,Num,HADMAM,,Have you ever had a mammogram?
141,How Long since Last Mammogram,n,Breast and Cervical Cancer Screening,9,2,322,Num,HOWLONG,,How long has it been since you had your last mammogram?
142,Ever Had a Pap Test,n,Breast and Cervical Cancer Screening,9,3,323,Num,HADPAP2,,Have you ever had a Pap test?
143,How Long Since Last Pap Test,n,Breast and Cervical Cancer Screening,9,4,324,Num,LASTPAP2,,How long has it been since you had your last Pap test?
144,Have you ever had an HPV test?,n,Breast and Cervical Cancer Screening,9,5,325,Num,HPVTEST,,An H.P.V. test is sometimes given with the Pap test for cervical cancer screening. Have you ever had an H.P.V. test?
145,How long since your last HPV test?,n,Breast and Cervical Cancer Screening,9,6,326,Num,HPLSTTST,,How long has it been since you had your last H.P.V. test?
146,Had Hysterectomy,n,Breast and Cervical Cancer Screening,9,7,327,Num,HADHYST2,,Have you had a hysterectomy?: (A hysterectomy is an operation to remove the uterus (womb).)
147,Has a health professional EVER talked with you about the advantages of the PSA test?,n,Prostate Cancer Screening,10,1,328,Num,PCPSAAD3,,"Has a doctor, nurse, or other health professional ever talked with you about the advantages of the Prostate-Specific Antigen or P.S.A. test?"
148,Has a health professional EVER talked with you about the disadvantages of the PSA test?,n,Prostate Cancer Screening,10,2,329,Num,PCPSADI1,,"Has a doctor, nurse, or other health professional ever talked with you about the disadvantages of the PSA test?"
149,Has a doctor EVER recommended that you have a PSA test?,n,Prostate Cancer Screening,10,3,330,Num,PCPSARE1,,"Has a doctor, nurse, or other health professional ever recommended that you have a P.S.A. test?"
150,Ever Had PSA Test,n,Prostate Cancer Screening,10,4,331,Num,PSATEST1,,Have you ever had a P.S.A. test?
151,Time Since Last PSA Test,n,Prostate Cancer Screening,10,5,332,Num,PSATIME,,How long has it been since you had your last P.S.A. test?
152,What was the MAIN reason you had this PSA test?,n,Prostate Cancer Screening,10,6,333,Num,PCPSARS1,,What was the MAIN reason you had this P.S.A. test ï¿½ was it ï¿½?
153,Why was PSA test done?,n,Prostate Cancer Screening Decision Making,11,1,334,Num,PCPSADE1,,Which of the following best describes the decision to have the P.S.A. test done?
154,Who made the decision with you to have PSA test?,n,Prostate Cancer Screening Decision Making,11,2,335,Num,PCDMDEC1,,Who made the decision with you?
155,Ever Had Blood Stool Test Using Home Kit,n,Colorectal Cancer Screening,12,1,336,Num,BLDSTOOL,,A blood stool test is a test that may use a special kit at home to determine whether the stool contains blood.: Have you ever had this test using a home kit?
156,Time Since Last Blood Stool Test,n,Colorectal Cancer Screening,12,2,337,Num,LSTBLDS3,,How long has it been since you had your last blood stool test using a home kit?
157,Ever Had Sigmoidoscopy/Colonoscopy,n,Colorectal Cancer Screening,12,3,338,Num,HADSIGM3,,Sigmoidoscopy and colonoscopy are exams in which a tube is inserted in the rectum to view the colon for signs of cancer or other health problems. Have you ever had either of these exams?
158,Was your last test a sigmoidoscopy or colonoscopy?,n,Colorectal Cancer Screening,12,4,339,Num,HADSGCO1,,"For a sigmoidoscopy, a flexible tube is inserted into the rectum to look for problems. A colonoscopy is similar, but uses a longer tube, and you are usually given medication through a needle in your arm to make you sleepy and told to have someone else drive you home after the test. Was your most recent exam a sigmoidoscopy or a colonoscopy?"
159,Time Since Last Sigmoidoscopy/Colonoscopy,n,Colorectal Cancer Screening,12,5,340,Num,LASTSIG3,,How long has it been since you had your last sigmoidoscopy or colonoscopy?
160,How Many Types of Cancer?,n,Cancer Survivorship,13,1,341,Num,CNCRDIFF,,How many different types of cancer have you had?
161,Age Told Had Cancer,n,Cancer Survivorship,13,2,342-343,Num,CNCRAGE,,"At what age were you told that you had cancer?: (If Response = 2 (Two) or 3 (Three or more), ask: ï¿½At what age was your first diagnosis of cancer?ï¿½)"
162,Type of Cancer,n,Cancer Survivorship,13,3,344-345,Num,CNCRTYP1,,"What type of cancer was it?: (If Response = 2 (Two) or 3 (Three or more), ask: ï¿½With your most recent diagnoses of cancer, what type of cancer was it?ï¿½)"
163,Currently Receiving Treatment for Cancer,n,Cancer Survivorship,13,4,346,Num,CSRVTRT3,,Are you currently receiving treatment for cancer?
164,What Type of Doctor Provides Majority of Your Care,n,Cancer Survivorship,13,5,347-348,Num,CSRVDOC1,,What type of doctor provides the majority of your health care?
165,Did You Receive a Summary of Cancer Treatments Received,n,Cancer Survivorship,13,6,349,Num,CSRVSUM,,"Did any doctor, nurse, or other health professional ever give you a written summary of all the cancer treatments that you received?"
